temperature,humidity,wind,soil,people,Label
66,15,30,8,1500,fire
63,12,25,9,1400,fire
40,10,35,10,1300,fire
53,20,40,7,1200,fire
56,18,28,6,1150,fire
54,14,22,8,1100,fire
50,17,29,9,1050,fire
45,13,33,7,1000,fire
41,11,31,10,950,fire
38,16,27,5,900,fire
36,15,26,6,880,fire
37,13,34,8,860,fire
35,14,32,9,840,fire
39,12,30,7,820,fire
40,10,29,6,800,fire
38,15,25,8,780,fire
56,14,27,9,760,fire
59,12,31,5,740,fire
65,10,33,6,720,fire
46,11,30,7,700,fire
70,13,28,2,680,fire
45,14,26,5,660,fire
44,10,27,6,640,fire
58,12,35,8,620,fire
45,10,30,6,600,fire
68,15,29,7,580,fire
66,5,32,8,560,fire
55,18,31,9,540,fire
59,14,28,5,520,fire
50,12,25,6,500,fire
40,12,30,10,1500,fire
47,10,28,9,1450,fire
55,14,29,8,1400,fire
60,13,27,7,1350,fire
53,16,35,6,1300,fire
50,15,32,8,1250,fire
48,11,31,10,1200,fire
53,13,30,9,1150,fire
36,12,28,8,1100,fire
53,14,26,7,1050,fire
47,15,29,6,1000,fire
42,11,30,10,950,fire
47,10,27,9,900,fire
50,12,25,8,850,fire
51,13,28,7,800,fire
70,10,29,6,750,fire
65,15,31,10,700,fire
55,16,32,9,650,fire
45,12,30,8,600,fire
56,11,28,7,550,fire
49,10,27,6,500,fire
40,14,29,10,450,fire
51,13,31,9,400,fire
48,12,32,8,350,fire
47,11,30,7,300,fire
36,15,28,6,769,fire
45,16,27,10,698,fire
57,14,25,9,340,fire
49,13,29,8,596,fire
48,12,30,7,350,fire
50,11,31,8,1450,fire
56,10,32,9,1350,fire
45,15,30,8,1250,fire
47,14,28,7,1150,fire
49,13,27,6,1050,fire
50,12,29,10,950,fire
51,11,31,9,850,fire
47,10,32,8,750,fire
46,14,30,7,650,fire
55,16,28,6,550,fire
58,15,27,10,450,fire
49,14,29,9,350,fire
47,13,31,8,250,fire
40,12,32,7,321,fire
41,11,30,10,333,fire
46,10,28,9,1400,fire
40,15,27,8,1300,fire
47,14,25,7,1200,fire
39,13,29,6,1100,fire
40,12,30,10,1000,fire
51,11,31,9,900,fire
53,10,32,8,800,fire
60,14,30,7,700,fire
65,16,28,6,834,fire
50,15,27,10,500,fire
55,14,29,9,948,fire
47,13,31,8,864,fire
40,12,32,7,288,fire
41,11,30,10,238,fire
45,10,28,9,378,fire
42,14,34,5,1382,fire
43,13,33,4,1532,fire
44,12,32,3,1294,fire
45,11,31,2,1829,fire
46,10,30,1,991,fire
47,9,29,5,1350,fire
48,8,28,4,1348,fire
49,7,27,3,1284,fire
50,6,26,2,1398,fire
51,5,25,1,1150,fire
17,50,3,31,129,safe
16,51,2,32,294,safe
15,52,1,33,200,safe
14,53,0,34,108,safe
13,54,3,35,28,safe
12,55,4,36,228,safe
25,40,10,20,99,safe
27,35,12,22,139,safe
28,38,8,25,1,safe
26,42,9,24,290,safe
24,45,11,23,29,safe
22,48,10,26,292,safe
23,40,15,22,282,safe
25,37,14,24,273,safe
26,36,13,25,211,safe
27,39,12,23,251,safe
28,41,8,20,200,safe
24,44,9,26,5,safe
23,45,10,24,260,safe
22,47,11,22,240,safe
26,43,13,25,224,safe
27,42,14,26,200,safe
25,40,12,23,180,safe
28,38,15,24,160,safe
24,46,8,22,140,safe
23,49,9,20,120,safe
22,50,10,25,101,safe
26,43,11,44,90,safe
27,41,13,23,80,safe
25,38,12,22,70,safe
28,35,14,20,60,safe
24,37,10,26,50,safe
23,40,9,24,40,safe
22,42,8,25,30,safe
26,45,11,23,22,safe
27,39,12,22,25,safe
25,40,10,20,189,safe
27,38,12,22,178,safe
26,37,11,24,165,safe
28,31,9,25,138,safe
24,42,10,23,205,safe
23,44,8,26,50,safe
22,45,11,22,58,safe
25,43,12,34,202,safe
27,40,10,25,101,safe
26,38,9,33,187,safe
24,41,8,20,100,safe
23,42,10,26,93,safe
22,44,11,24,95,safe
25,45,9,22,100,safe
27,38,8,25,210,safe
26,37,12,24,190,safe
24,40,10,23,170,safe
23,42,11,30,150,safe
22,43,9,26,130,safe
25,44,8,34,110,safe
27,45,12,22,90,safe
26,38,10,25,70,safe
24,37,11,24,50,safe
23,40,9,23,284,safe
22,42,10,20,92,safe
25,43,8,26,38,safe
27,45,12,24,202,safe
26,38,10,22,103,safe
24,37,11,25,123,safe
23,40,9,24,193,safe
22,42,10,23,128,safe
25,45,8,20,210,safe
27,38,11,26,205,safe
26,37,9,24,108,safe
24,40,10,22,150,safe
23,42,8,25,190,safe
22,44,12,24,201,safe
25,43,11,23,101,safe
27,45,9,20,180,safe
26,38,10,36,160,safe
24,37,8,24,140,safe
23,30,12,32,120,safe
22,42,10,25,100,safe
25,44,11,24,80,safe
27,45,9,33,60,safe
26,38,10,20,40,safe
24,37,8,26,202,safe
23,40,12,24,220,safe
22,42,10,22,180,safe
25,43,11,35,182,safe
27,45,9,24,185,safe
26,38,8,23,150,safe
24,37,12,20,128,safe
23,40,10,26,173,safe
22,42,11,24,20,safe
25,45,9,36,28,safe
27,38,10,43,95,safe
26,37,8,24,93,safe
24,40,12,23,83,safe
23,42,10,40,192,safe
22,43,11,26,99,safe
25,44,9,24,190,safe
27,45,8,22,170,safe
26,38,12,25,150,safe
