temperature,humidity,wind,soil,people,Label
66,15,3,8,1500,fire
63,12,2,9,1400,fire
40,10,1,10,1300,fire
53,20,5,7,1200,fire
56,18,3,6,1150,fire
54,14,4,8,1100,fire
50,17,10,9,1050,fire
45,13,12,7,1000,fire
41,11,8,10,950,fire
38,16,9,5,900,fire
36,15,11,6,880,fire
37,13,10,8,860,fire
35,14,15,9,840,fire
39,12,14,7,820,fire
40,10,13,6,800,fire
38,15,12,8,780,fire
56,14,8,9,760,fire
59,12,9,5,740,fire
65,10,10,6,720,fire
46,11,11,7,700,fire
70,13,13,2,680,fire
45,14,14,5,660,fire
44,10,12,6,640,fire
58,12,15,8,620,fire
45,10,8,6,600,fire
68,15,9,7,580,fire
66,5,10,8,560,fire
55,18,11,9,540,fire
59,14,13,5,520,fire
50,12,12,6,500,fire
40,12,14,10,1500,fire
47,10,10,9,1450,fire
55,14,9,8,1400,fire
60,13,8,7,1350,fire
53,16,11,6,1300,fire
50,15,12,8,1250,fire
48,11,10,10,1200,fire
53,13,12,9,1150,fire
36,12,11,8,1100,fire
53,14,9,7,1050,fire
47,15,10,6,1000,fire
42,11,8,10,950,fire
47,10,11,9,900,fire
50,12,12,8,850,fire
51,13,10,7,800,fire
70,10,9,6,750,fire
65,15,8,10,700,fire
55,16,10,9,650,fire
45,12,11,8,600,fire
56,11,9,7,550,fire
49,10,8,6,500,fire
40,14,12,10,450,fire
51,13,10,9,400,fire
48,12,11,8,350,fire
47,11,9,7,300,fire
36,15,8,6,769,fire
45,16,12,10,698,fire
57,14,10,9,340,fire
49,13,11,8,596,fire
48,12,9,7,350,fire
50,11,10,8,1450,fire
56,10,8,9,1350,fire
45,15,12,8,1250,fire
47,14,10,7,1150,fire
49,13,11,6,1050,fire
50,12,9,10,950,fire
51,11,10,9,850,fire
47,10,8,8,750,fire
46,14,11,7,650,fire
55,16,9,6,550,fire
58,15,10,10,450,fire
49,14,8,9,350,fire
47,13,12,8,250,fire
40,12,11,7,321,fire
41,11,9,10,333,fire
46,10,10,9,1400,fire
40,15,8,8,1300,fire
47,14,12,7,1200,fire
39,13,10,6,1100,fire
40,12,11,10,1000,fire
51,11,9,9,900,fire
53,10,10,8,800,fire
60,14,8,7,700,fire
65,16,12,6,834,fire
50,15,10,10,500,fire
55,14,11,9,948,fire
47,13,9,8,864,fire
40,12,8,7,288,fire
41,11,12,10,238,fire
45,10,10,9,378,fire
42,14,11,5,1382,fire
43,13,9,4,1532,fire
44,12,10,3,1294,fire
45,11,8,2,1829,fire
46,10,12,1,991,fire
47,9,10,5,1350,fire
48,8,11,4,1348,fire
49,7,9,3,1284,fire
50,6,8,2,1398,fire
51,5,12,1,1150,fire
17,50,30,31,129,safe
16,51,25,32,294,safe
15,52,35,33,200,safe
14,53,40,34,108,safe
13,54,28,35,28,safe
12,55,22,36,228,safe
25,40,29,20,99,safe
27,35,33,22,139,safe
28,38,31,25,1,safe
26,42,27,24,290,safe
24,45,26,23,29,safe
22,48,34,26,292,safe
23,40,32,22,282,safe
25,37,30,24,273,safe
26,36,29,25,211,safe
27,39,25,23,251,safe
28,41,27,20,200,safe
24,44,31,26,5,safe
23,45,33,24,260,safe
22,47,30,22,240,safe
26,43,28,25,224,safe
27,42,26,26,200,safe
25,40,27,23,180,safe
28,38,35,24,160,safe
24,46,30,22,140,safe
23,49,29,20,120,safe
22,50,32,25,101,safe
26,43,31,44,90,safe
27,41,28,23,80,safe
25,38,25,22,70,safe
28,35,30,20,60,safe
24,37,28,26,50,safe
23,40,29,24,40,safe
22,42,27,25,30,safe
26,45,35,23,22,safe
27,39,32,22,25,safe
25,40,31,20,189,safe
27,38,30,22,178,safe
26,37,28,24,165,safe
28,31,26,25,138,safe
24,42,29,23,205,safe
23,44,30,26,50,safe
22,45,27,22,58,safe
25,43,25,34,202,safe
27,40,28,25,101,safe
26,38,29,33,187,safe
24,41,31,20,100,safe
23,42,32,26,93,safe
22,44,30,24,95,safe
25,45,28,22,100,safe
27,38,27,25,210,safe
26,37,29,24,190,safe
24,40,31,23,170,safe
23,42,32,30,150,safe
22,43,30,26,130,safe
25,44,28,34,110,safe
27,45,27,22,90,safe
26,38,25,25,70,safe
24,37,29,24,50,safe
23,40,30,23,284,safe
22,42,31,20,92,safe
25,43,32,26,38,safe
27,45,30,24,202,safe
26,38,28,22,103,safe
24,37,27,25,123,safe
23,40,29,24,193,safe
22,42,31,23,128,safe
25,45,32,20,210,safe
27,38,30,26,205,safe
26,37,28,24,108,safe
24,40,27,22,150,safe
23,42,29,25,190,safe
22,44,31,24,201,safe
25,43,32,23,101,safe
27,45,30,20,180,safe
26,38,28,36,160,safe
24,37,27,24,140,safe
23,30,25,32,120,safe
22,42,29,25,100,safe
25,44,30,24,80,safe
27,45,31,33,60,safe
26,38,32,20,40,safe
24,37,30,26,202,safe
23,40,28,24,220,safe
22,42,27,22,180,safe
25,43,29,35,182,safe
27,45,31,24,185,safe
26,38,32,23,150,safe
24,37,30,20,128,safe
23,40,28,26,173,safe
22,42,34,24,20,safe
25,45,33,36,28,safe
27,38,32,43,95,safe
26,37,31,24,93,safe
24,40,30,23,83,safe
23,42,29,40,192,safe
22,43,28,26,99,safe
25,44,27,24,190,safe
27,45,26,22,170,safe
26,38,25,25,150,safe
