temperature,humidity,wind,soil,people,Label
55,15,39,20,800,fire
58,12,35,19,898,fire
50,10,34,17,1210,fire
57,20,34,20,998,fire
46,18,38,19,940,fire
45,14,43,20,809,fire
50,17,37,10,1500,fire
49,13,44,18,950,fire
41,11,38,16,1000,fire
58,16,39,19,900,fire
46,15,37,16,1254,fire
47,13,36,19,860,fire
45,14,44,16,840,fire
40,12,38,19,820,fire
40,10,40,18,800,fire
48,15,36,15,780,fire
39,18,35,16,760,fire
37,20,34,19,740,fire
45,16,34,14,720,fire
46,11,38,15,700,fire
50,13,35,17,680,fire
54,14,44,10,1205,fire
43,17,43,19,640,fire
49,12,42,18,620,fire
45,10,35,15,600,fire
38,15,36,19,580,fire
66,10,40,9,1150,fire
45,18,35,19,540,fire
39,14,34,18,520,fire
50,12,38,10,1503,fire
47,13,41,18,1100,fire
52,12,38,16,1075,fire
49,14,40,15,1150,fire
54,10,39,17,950,fire
49,11,37,14,990,fire
48,13,36,13,1050,fire
55,12,42,18,1200,fire
53,15,35,20,1120,fire
50,10,39,12,1350,fire
49,11,43,19,1000,fire
52,12,37,16,1200,fire
47,14,34,13,1250,fire
49,13,36,18,1090,fire
50,12,41,15,1030,fire
54,11,38,19,1025,fire
50,12,35,16,1400,fire
49,14,40,18,1150,fire
58,13,37,20,1100,fire
56,11,36,15,1250,fire
49,12,38,13,1325,fire
25,40,11,45,129,safe
27,35,9,48,294,safe
28,38,12,43,200,safe
26,42,10,47,108,safe
24,45,6,50,28,safe
22,48,8,53,228,safe
23,40,9,45,99,safe
25,57,7,46,139,safe
26,48,9,49,20,safe
27,49,10,45,290,safe
28,51,6,46,29,safe
24,45,10,49,292,safe
23,54,13,55,282,safe
22,47,7,52,273,safe
26,53,6,49,211,safe
27,52,11,53,251,safe
25,50,9,50,200,safe
28,48,8,48,10,safe
24,46,14,56,260,safe
23,50,10,51,240,safe
22,50,9,50,224,safe
26,53,8,49,200,safe
27,51,13,48,180,safe
25,48,8,52,160,safe
28,55,11,54,140,safe
24,53,13,53,120,safe
23,49,8,49,101,safe
22,45,9,48,90,safe
26,54,8,51,80,safe
27,49,10,52,70,safe
22,52,9,50,150,safe
24,47,7,52,210,safe
26,49,8,54,230,safe
23,53,6,56,120,safe
25,51,10,51,240,safe
27,49,9,55,200,safe
28,52,7,57,130,safe
24,50,8,53,180,safe
26,54,10,50,220,safe
22,46,7,58,140,safe
25,49,6,55,250,safe
27,53,9,51,160,safe
23,45,8,54,190,safe
28,47,7,56,170,safe
26,51,10,52,100,safe
24,48,9,49,210,safe
27,54,8,55,200,safe
22,50,7,53,230,safe
28,53,10,50,220,safe
23,52,6,56,150,safe
