temperature,humidity,wind,soil,people,Label
35,15,8,30,1500,fire
38,12,9,25,1400,fire
40,10,10,35,1300,fire
37,20,7,40,1200,fire
36,18,6,28,1150,fire
34,14,8,22,1100,fire
50,17,9,29,1050,fire
39,13,7,33,1000,fire
41,11,10,31,950,fire
38,16,5,27,900,fire
36,15,6,26,880,fire
37,13,8,34,860,fire
35,14,9,32,840,fire
39,12,7,30,820,fire
40,10,6,29,800,fire
38,15,8,25,780,fire
36,18,9,27,760,fire
37,20,5,31,740,fire
35,16,6,33,720,fire
46,11,7,30,700,fire
39,13,9,28,680,fire
34,14,5,26,660,fire
33,17,6,27,640,fire
37,12,8,35,620,fire
45,10,6,30,600,fire
38,15,7,29,580,fire
36,20,8,32,560,fire
35,18,9,31,540,fire
39,14,5,28,520,fire
50,12,6,25,500,fire
25,40,20,10,129,safe
27,35,22,12,294,safe
28,38,25,8,200,safe
26,42,24,9,108,safe
24,45,23,11,28,safe
22,48,26,10,228,safe
23,40,22,15,99,safe
25,37,24,14,139,safe
26,36,25,13,1,safe
27,39,23,12,290,safe
28,41,20,8,29,safe
24,44,26,9,292,safe
23,45,24,10,282,safe
22,47,22,11,273,safe
26,43,25,13,211,safe
27,42,26,14,251,safe
25,40,23,12,200,safe
28,38,24,15,5,safe
24,46,22,8,260,safe
23,49,20,9,240,safe
22,50,25,10,224,safe
26,43,24,11,200,safe
27,41,23,13,180,safe
25,38,22,12,160,safe
28,35,20,14,140,safe
24,37,26,10,120,safe
23,40,24,9,101,safe
22,42,25,8,90,safe
26,45,23,11,80,safe
27,39,22,12,70,safe
